[17-Aug-2014 1:04:09 PM] Mod T used command:	[obj -1]
[17-Aug-2014 1:04:10 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:04:20 PM] Mod T used command:	[tele 0,40,48,55,21]
[17-Aug-2014 1:04:26 PM] Mod T used command:	[nn grand exchange clerk]
[17-Aug-2014 1:04:34 PM] Mod T used command:	[n 2241 WEST]
[17-Aug-2014 1:04:35 PM] Mod T used command:	[tele 0,40,48,53,21]
[17-Aug-2014 1:04:40 PM] Mod T used command:	[tele 0,40,48,53,31]
[17-Aug-2014 1:04:55 PM] Mod T used command:	[tele 0,40,48,46,32]
[17-Aug-2014 1:04:57 PM] Mod T used command:	[N 8467 SOUTH]
[17-Aug-2014 1:05:00 PM] Mod T used command:	[tele 0,40,48,50,23]
[17-Aug-2014 1:05:30 PM] Mod T used command:	[tele 0,40,48,52,19]
[17-Aug-2014 1:08:24 PM] Mod T used command:	[tele 0,40,48,44,17]
[17-Aug-2014 1:08:25 PM] Mod T used command:	[tele 0,40,48,41,14]
[17-Aug-2014 1:08:28 PM] Mod T used command:	[pos]
[17-Aug-2014 1:08:29 PM] Mod T used command:	[tele 0,40,48,40,14]
[17-Aug-2014 1:08:30 PM] Mod T used command:	[tele 0,40,48,41,14]
[17-Aug-2014 1:08:31 PM] Mod T used command:	[tele 0,40,48,41,15]
[17-Aug-2014 1:08:31 PM] Mod T used command:	[pos]
[17-Aug-2014 1:09:36 PM] Mod T used command:	[obj 24124]
[17-Aug-2014 1:09:39 PM] Mod T used command:	[tele 0,40,48,53,20]
[17-Aug-2014 1:09:42 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 1:09:43 PM] Mod T used command:	[obj 24124]
[17-Aug-2014 1:09:45 PM] Mod T used command:	[obj 24124 10 1]
[17-Aug-2014 1:09:51 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 1:09:52 PM] Mod T used command:	[obj 24124 10 1]
[17-Aug-2014 1:09:54 PM] Mod T used command:	[tele 0,40,48,54,19]
[17-Aug-2014 1:09:57 PM] Mod T used command:	[obj 24124 10 1]
[17-Aug-2014 1:10:45 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 1:10:46 PM] Mod T used command:	[obj 24124 10 1]
[17-Aug-2014 1:11:22 PM] Mod T used command:	[tele 0,40,48,51,23]
[17-Aug-2014 1:11:32 PM] Mod T used command:	[obj 24147 10 1]
[17-Aug-2014 1:11:36 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 1:11:36 PM] Mod T used command:	[obj 24147 10 1]
[17-Aug-2014 1:11:54 PM] Mod T used command:	[obj 7389 10 1]
[17-Aug-2014 1:11:57 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:11:59 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:12:10 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 1:12:11 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:12:14 PM] Mod T used command:	[tele 0,40,48,51,21]
[17-Aug-2014 1:12:25 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 1:12:26 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:12:29 PM] Mod T used command:	[tele 0,40,48,53,19]
[17-Aug-2014 1:12:30 PM] Mod T used command:	[obj 7389 10 0]
[17-Aug-2014 1:12:31 PM] Mod T used command:	[tele 0,40,48,53,19]
[17-Aug-2014 1:12:32 PM] Mod T used command:	[obj 7389 10 0]
